# z_eff Value(D_M/r_d)  Error
0.380   10.23   0.170   # SDSS DR12 BOSS Galaxy
0.510   13.587  0.169   # DESI DR2 LRG1
0.706   17.347  0.180   # DESI DR2 LRG2
0.850   19.5    1.000   # SDSS DR16 eBOSS ELG
0.934   21.574  0.153   # DESI DR2 LGR3+ELG1
1.321   27.605  0.320   # DESI DR2 ELG2
1.484   30.519  0.758   # DESI DR2 QSO
2.330   38.988  0.531   # DESI DR2 Lya
